Keyword,Position,Previous Position,Search Volume,Keyword Difficulty Index,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp
"o que é service desk","11","10","170","58.58","10.23","https://blog.neoassist.com/o-que-e-service-desk/","0.02","0.06","0.40","27600000","0.65,0.65,0.81,0.81,0.65,0.42,0.65,0.65,0.81,0.65,1.00,0.65","1512409519"
"pesquisa satisfação cliente","10","8","260","59.74","1.56","https://blog.neoassist.com/modelos-de-pesquisa-de-satisfacao-do-cliente/","0.02","0.00","0.75","429000","0.54,0.54,0.67,0.67,0.36,0.36,0.54,0.44,0.82,0.67,1.00,0.82","1511895100"
"sac o que significa","3","3","70","80.93","0.00","https://blog.neoassist.com/o-que-e-sac/","0.01","0.00","0.00","695000","0.18,0.23,0.08,0.23,0.23,0.05,0.13,0.05,0.10,1.00,0.18,0.05","1511303067"
"perguntas de atendimento ao cliente","3","3","70","54.18","2.05","https://blog.neoassist.com/5-tecnicas-para-descobrir-a-eficiencia-do-seu-servico-de-atendimento-ao-cliente-sac/","0.01","0.00","0.33","771000","0.44,0.56,0.11,0.56,1.00,1.00,0.33,1.00,0.22,0.22,0.44,0.22","1511187533"
"pesquisa de satisfação do consumidor","3","3","70","67.60","5.24","https://blog.neoassist.com/pesquisa-de-satisfacao/","0.01","0.02","0.29","433000","0.33,0.11,0.44,0.11,1.00,0.78,0.22,0.78,0.44,0.44,0.33,0.78","1511208382"
"gerenciamento de relacionamento com o cliente crm","4","0","90","78.67","0.00","https://blog.neoassist.com/gestao-de-relacionamento-com-o-cliente/","0.01","0.00","0.83","223000","0.33,0.56,0.22,0.56,1.00,0.33,0.44,1.00,0.56,0.56,0.78,0.56","1509750228"
"acordo de nivel de serviço","4","5","90","67.70","0.00","https://blog.neoassist.com/acordo-de-nivel-de-servico-estruturar/","0.01","0.00","0.00","566000","0.82,0.82,0.64,0.82,1.00,0.82,0.64,0.45,0.45,0.45,0.82,0.82","1511139807"
"sac atendimento ao cliente","2","2","50","73.31","0.65","https://blog.neoassist.com/o-que-e-sac/","0.01","0.00","0.12","462000","0.44,0.56,1.00,0.78,0.56,0.44,0.78,0.44,0.33,0.44,0.56,0.78","1512586175"
"tudo sobre atendimento ao cliente","3","5","70","62.75","0.87","https://blog.neoassist.com/o-que-e-atendimento-ao-cliente/","0.01","0.00","0.43","4780000","0.64,0.82,0.82,0.82,1.00,0.27,0.45,0.45,0.82,0.64,0.82,0.64","1512513229"
"como atender o cliente","3","0","70","59.63","0.45","https://blog.neoassist.com/como-atender-um-cliente-com-excelencia/","0.01","0.00","0.17","20800000","0.78,1.00,0.78,0.78,0.78,0.44,0.56,0.56,1.00,1.00,0.56,0.78","1512531214"
"tecnicas de relacionamento com o cliente","4","0","90","54.09","1.30","https://blog.neoassist.com/markeitng-relacionamento-com-os-clientes/","0.01","0.00","0.10","541000","0.22,1.00,0.33,1.00,0.78,0.56,0.11,0.56,0.33,0.33,0.22,0.56","1513436502"
"qualidade do atendimento","2","2","50","58.16","2.50","https://blog.neoassist.com/6-dicas-para-melhorar-a-qualidade-no-atendimento/","0.01","0.01","0.05","36800000","0.56,0.78,0.78,0.78,0.78,0.33,0.22,0.44,0.78,0.56,1.00,0.78","1512610175"
"modelos de pesquisa","7","0","170","63.42","1.10","https://blog.neoassist.com/modelos-de-pesquisa-de-satisfacao-do-cliente/","0.01","0.00","0.26","34300000","0.43,0.81,1.00,0.81,1.00,0.33,0.33,0.33,1.00,1.00,1.00,0.67","1508911185"
"qualidade em atendimento ao cliente","2","2","50","56.79","2.08","https://blog.neoassist.com/6-dicas-para-melhorar-a-qualidade-no-atendimento/","0.01","0.01","0.09","12600000","0.57,0.43,0.71,1.00,0.57,0.43,0.29,0.43,0.71,0.71,1.00,0.71","1512550464"
"nps net promoter score","3","4","70","67.04","10.36","https://blog.neoassist.com/net-promoter-score-nps/","0.01","0.05","0.21","4010000","0.45,0.64,0.64,0.64,0.82,0.82,0.82,0.36,0.82,1.00,0.82,0.82","1512498639"
"o que é serviço de atendimento ao cliente","4","4","90","58.96","0.03","https://blog.neoassist.com/o-que-e-atendimento-ao-cliente/","0.01","0.00","0.41","11300000","0.71,0.14,0.57,0.14,1.00,0.43,1.00,0.43,0.71,0.71,0.71,0.14","1513506241"
"importancia da satisfação do cliente","4","0","90","55.63","0.00","https://blog.neoassist.com/satisfacao-do-cliente/","0.01","0.00","0.04","166000","0.22,0.22,0.56,0.22,0.78,1.00,0.33,1.00,0.56,0.56,0.22,0.56","1509735369"
"definição de atendimento ao cliente","2","0","50","65.58","0.00","https://blog.neoassist.com/o-que-e-atendimento-ao-cliente/","0.01","0.00","0.05","611000","0.43,1.00,0.71,1.00,0.71,0.71,0.29,0.43,0.71,1.00,1.00,0.71","1509342921"
"perguntas sobre atendimento ao cliente","3","3","70","58.87","0.58","https://blog.neoassist.com/5-tecnicas-para-descobrir-a-eficiencia-do-seu-servico-de-atendimento-ao-cliente-sac/","0.01","0.00","0.33","4220000","0.78,1.00,0.78,0.78,0.78,0.33,0.44,0.44,1.00,0.78,1.00,0.78","1512497738"
"what is the net promoter score","3","17","70","53.37","0.00","https://blog.neoassist.com/net-promoter-score-nps/","0.01","0.00","0.00","3090000","0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00,0.50,0.50,0.50","1511292911"
"definição de atendimento","3","3","70","74.09","0.00","https://blog.neoassist.com/o-que-e-atendimento-ao-cliente/","0.01","0.00","0.00","2460000","0.78,0.78,1.00,1.00,1.00,0.56,0.33,0.56,1.00,1.00,1.00,1.00","1512498335"
"dicas de atendimento ao cliente","12","11","480","64.98","1.30","https://blog.neoassist.com/6-dicas-para-melhorar-a-qualidade-no-atendimento/","0.01","0.00","0.16","748000","0.66,0.81,1.00,0.81,0.81,0.44,0.66,0.66,1.00,1.00,1.00,1.00","1513255461"
"do call","4","6","90","66.03","0.00","https://blog.neoassist.com/historia-do-call-center/","0.01","0.00","0.00","1540000000","0.71,0.14,0.57,0.14,1.00,0.43,1.00,0.43,0.71,0.71,0.71,0.14","1511197014"
"satisfação definição","3","3","70","74.89","0.00","https://blog.neoassist.com/o-que-e-satisfacao-do-cliente/","0.01","0.00","0.00","1640000","0.11,0.78,0.22,0.78,1.00,0.44,1.00,0.44,0.22,0.22,0.11,0.78","1511296608"
"tudo sobre call center","2","3","50","59.70","0.00","https://blog.neoassist.com/historia-do-call-center/","0.01","0.00","0.33","974000","0.57,0.71,0.71,0.71,0.71,0.29,0.57,0.57,0.57,1.00,0.71,0.43","1512520813"
"atendimento de qualidade ao cliente","2","2","50","54.72","0.00","https://blog.neoassist.com/6-dicas-para-melhorar-a-qualidade-no-atendimento/","0.01","0.00","0.16","11500000","0.78,0.56,0.56,0.56,0.78,0.56,0.44,0.56,0.78,1.00,0.56,0.56","1512596353"
"cliente significado","14","0","880","85.61","0.00","https://blog.neoassist.com/o-que-e-atendimento-ao-cliente/","0.01","0.00","0.00","10800000","0.36,0.10,0.03,0.24,0.29,0.36,0.29,0.67,1.00,1.00,0.19,0.44","1510495321"
"questionário satisfação","3","8","70","65.91","6.22","https://blog.neoassist.com/questionario-de-satisfacao-em-8-passos/","0.01","0.03","0.07","602000","0.78,1.00,0.33,1.00,1.00,0.22,0.56,0.22,0.44,0.44,0.78,0.22","1511193640"
"sac serviço de atendimento ao consumidor","4","6","90","70.26","0.13","https://blog.neoassist.com/o-que-e-sac/","0.01","0.00","0.10","509000","0.45,0.82,1.00,0.82,0.64,0.64,0.64,0.45,0.82,0.82,1.00,1.00","1512466688"
"significado de call center","3","3","70","68.64","8.92","https://blog.neoassist.com/o-que-e-call-center/","0.01","0.04","0.06","458000","0.56,0.56,0.56,0.56,0.56,0.44,0.78,0.56,1.00,0.56,0.78,0.78","1512492775"
"o que é atender","4","4","90","75.89","0.00","https://blog.neoassist.com/o-que-e-atendimento-ao-cliente/","0.01","0.00","0.00","5720000","0.71,0.14,0.57,0.14,1.00,0.43,1.00,0.43,0.71,0.71,0.71,0.14","1513587546"
"gerenciamento de emails","2","0","40","65.14","4.00","https://blog.neoassist.com/3-tecnicas-para-gerenciar-emails-como-um-mestre/","0.01","0.01","0.31","434000","0.57,0.43,0.57,0.29,0.57,0.14,0.43,0.43,1.00,0.71,0.43,0.57","1509344248"
"um bom atendimento","5","9","110","63.56","0.26","https://blog.neoassist.com/bom-atendimento-ao-cliente-melhores-praticas/","0.01","0.00","0.08","6610000","0.65,0.65,1.00,0.82,0.82,0.41,0.65,0.65,0.82,0.65,0.82,0.82","1512470600"
"oque e call center","2","0","40","63.96","0.00","https://blog.neoassist.com/o-que-e-call-center/","0.01","0.00","0.20","5440000","0.40,0.40,0.40,0.80,0.60,0.80,1.00,0.80,0.80,0.80,1.00,0.40","1509353126"
"o que é callcenter","2","0","40","62.50","0.00","https://blog.neoassist.com/o-que-e-call-center/","0.01","0.00","0.04","2890000","0.57,0.57,0.57,1.00,1.00,0.71,0.57,0.29,0.43,0.43,0.29,0.29","1509342722"
"blog relacionamento","9","14","170","49.65","0.55","https://blog.neoassist.com/","0.01","0.00","0.20","17600000","0.52,0.81,0.67,0.52,0.81,0.52,0.81,0.81,0.81,1.00,1.00,1.00","1511902264"
"como montar um call center","7","0","140","57.87","5.83","https://blog.neoassist.com/saiba-como-montar-um-call-center/","0.01","0.02","0.82","375000","0.65,0.65,0.65,1.00,0.65,0.65,0.82,0.65,1.00,1.00,1.00,1.00","1508907749"
"o que e sla","7","6","140","61.29","0.00","https://blog.neoassist.com/o-que-e-sla/","0.01","0.00","0.05","19600000","0.82,0.19,0.30,0.67,0.30,0.16,0.44,0.24,1.00,0.16,0.16,0.82","1513368372"
"quem é o cliente","13","7","590","58.02","0.00","https://blog.neoassist.com/o-que-e-atendimento-ao-cliente/","0.01","0.00","0.00","5240000","0.02,0.01,0.06,0.01,0.19,0.55,0.30,0.12,0.01,0.19,1.00,0.55","1510636507"
"redação atendimento ao cliente","9","10","170","77.77","1.85","https://blog.neoassist.com/qualidade-no-atendimento-ao-cliente-5-pilares/","0.01","0.00","0.18","2450000","1.00,0.67,0.81,0.81,0.81,0.52,0.67,0.52,1.00,0.81,0.81,1.00","1512520082"
"aumentar","40","43","8100","77.59","0.00","https://blog.neoassist.com/aumentar-a-satisfacao-do-cliente-5-dicas/","0.01","0.00","0.00","177000000","1.00,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.00,0.82,0.82,0.82","1513585062"
"o que é relação","14","14","720","79.16","0.00","https://blog.neoassist.com/o-que-e-relacionamento-com-o-cliente/","0.01","0.00","0.01","444000000","0.19,0.30,0.67,0.30,0.16,0.44,0.24,1.00,0.16,0.16,0.82,0.44","1511611143"
"qualidade do atendimento ao cliente","2","0","40","50.20","0.00","https://blog.neoassist.com/6-dicas-para-melhorar-a-qualidade-no-atendimento/","0.01","0.00","0.04","11400000","0.29,0.43,0.71,0.43,0.71,0.29,0.43,0.29,1.00,0.43,1.00,0.43","1513099956"
"sac atendimento","7","4","140","84.96","1.66","https://blog.neoassist.com/o-que-e-sac/","0.01","0.00","0.02","1310000","0.54,0.42,0.42,0.42,0.42,0.54,1.00,0.54,0.65,0.65,0.81,0.54","1512511972"
"modelo de pesquisa de satisfação do cliente","6","8","110","58.17","5.89","https://blog.neoassist.com/modelos-de-pesquisa-de-satisfacao-do-cliente/","0.01","0.02","0.60","414000","0.30,0.08,0.67,0.30,0.36,0.19,0.24,1.00,0.67,0.67,0.55,0.24","1513407927"
"serviço ao cliente","8","0","170","65.77","4.66","https://blog.neoassist.com/como-prestar-um-excelente-servico-ao-cliente-para-os-millennials/","0.01","0.01","0.22","31600000","0.36,0.24,1.00,0.24,0.12,0.16,0.30,0.67,0.44,0.44,0.82,0.44","1513331501"
"frases de bom atendimento ao cliente","5","4","110","66.55","1.82","https://blog.neoassist.com/servico-de-atendimento-ao-cliente-frases-que-nao-devem-ser-ditas-pelo-seu-sac/","0.01","0.00","0.12","595000","0.06,0.10,0.16,0.67,1.00,1.00,0.44,0.19,0.30,0.30,0.19,0.30","1513579359"
"marketing de relacionamento com o cliente","5","4","110","55.37","12.71","https://blog.neoassist.com/estrategias-de-marketing-de-relacionamento/","0.01","0.05","0.30","441000","0.24,0.52,0.81,0.67,0.81,0.24,0.19,0.33,0.67,1.00,0.52,0.33","1512467410"
"marketing de relacionamento com o cliente","6","0","110","55.37","12.71","https://blog.neoassist.com/marketing-de-relacionamento-atendimento-cliente/","0.01","0.05","0.30","441000","0.24,0.52,0.81,0.67,0.81,0.24,0.19,0.33,0.67,1.00,0.52,0.33","1512467410"
"o que é um atendimento de qualidade","2","0","40","51.54","0.00","https://blog.neoassist.com/6-dicas-para-melhorar-a-qualidade-no-atendimento/","0.01","0.00","0.10","51900000","0.11,0.22,1.00,0.44,0.33,0.22,0.11,0.22,0.33,0.33,0.78,0.78","1512978603"
"o que significa satisfação","7","7","140","82.70","0.00","https://blog.neoassist.com/o-que-e-satisfacao-do-cliente/","0.01","0.00","0.00","1360000","0.53,0.65,0.65,0.82,0.82,0.53,1.00,0.82,1.00,0.82,1.00,1.00","1512441137"
"relacionamento definição","10","11","170","74.36","0.00","https://blog.neoassist.com/o-que-e-relacionamento-com-o-cliente/","0.01","0.00","0.00","5080000","0.81,0.03,0.12,0.03,1.00,1.00,1.00,0.44,0.29,0.29,0.19,0.66","1513386653"
"planejamento de trabalho","9","8","140","73.03","0.00","https://blog.neoassist.com/a-importancia-do-planejamento/","0.01","0.00","0.06","34000000","0.82,0.82,0.82,0.82,1.00,0.82,1.00,0.82,0.82,0.65,0.82,0.65","1512401569"
"atendimento call center","5","0","90","58.06","1.56","https://blog.neoassist.com/o-que-e-call-center/","0.01","0.00","0.30","505000","0.79,0.79,0.79,0.64,0.50,0.50,0.64,0.64,0.79,0.64,1.00,0.79","1512420975"
"fidelizado","10","10","140","74.16","2.41","https://blog.neoassist.com/fidelizar-clientes-porque/","0.01","0.00","0.11","133000","1.00,0.82,0.82,0.82,0.82,0.82,0.82,0.53,0.65,0.65,0.82,0.82","1513379698"
"pesquisas de satisfação","6","5","90","60.10","3.87","https://blog.neoassist.com/modelos-de-pesquisa-de-satisfacao-do-cliente/","0.01","0.01","0.57","573000","0.64,0.82,0.82,1.00,0.82,0.36,0.45,0.45,1.00,1.00,1.00,0.82","1512415041"
"pesquisas de satisfação","5","6","90","60.10","3.87","https://blog.neoassist.com/pesquisa-de-satisfacao/","0.01","0.01","0.57","573000","0.64,0.82,0.82,1.00,0.82,0.36,0.45,0.45,1.00,1.00,1.00,0.82","1512415041"
"satisfação do cliente marketing","4","4","70","66.06","3.94","https://blog.neoassist.com/o-que-e-satisfacao-do-cliente/","0.01","0.01","0.15","408000","0.18,0.05,0.13,0.05,0.13,0.54,1.00,0.10,0.05,0.05,0.05,0.10","1511218267"
"atendente de call center o que faz","6","9","90","73.47","0.03","https://blog.neoassist.com/o-que-e-call-center/","0.01","0.00","0.10","375000","0.22,0.22,0.56,0.22,0.78,1.00,0.33,1.00,0.56,0.56,0.22,0.56","1513480928"
"um bom atendimento ao publico","11","10","90","70.29","0.00","https://blog.neoassist.com/bom-atendimento-ao-cliente-melhores-praticas/","0.01","0.00","0.10","2890000","0.11,0.56,0.22,0.56,1.00,0.33,1.00,0.33,0.11,0.11,0.11,0.56","1513530256"
"atividades sobre atendimento ao cliente","5","9","90","76.17","1.75","https://blog.neoassist.com/bom-atendimento-ao-cliente-melhores-praticas/","0.01","0.00","0.04","11700000","0.43,1.00,0.29,1.00,1.00,0.14,0.57,0.14,0.43,0.43,0.43,0.14","1513427199"
"pesquisa de satisfação modelo","5","5","90","58.22","0.87","https://blog.neoassist.com/modelos-de-pesquisa-de-satisfacao-do-cliente/","0.01","0.00","0.54","1360000","0.50,0.50,0.64,0.50,0.50,0.50,0.50,0.50,0.64,0.64,1.00,0.64","1512413479"
"satisfasao","5","3","90","69.72","0.00","https://blog.neoassist.com/o-que-e-satisfacao-do-cliente/","0.01","0.00","0.05","29300000","0.11,0.11,0.56,0.11,1.00,0.78,1.00,0.33,0.11,0.11,0.44,0.56","1511236753"
"pesquisa de satisfaçao","6","5","90","61.57","2.28","https://blog.neoassist.com/modelos-de-pesquisa-de-satisfacao-do-cliente/","0.01","0.00","0.51","12100000","1.00,0.82,0.82,1.00,1.00,1.00,1.00,0.45,0.64,0.64,1.00,1.00","1513438270"
"pesquisa de satisfaçao","5","6","90","61.57","2.28","https://blog.neoassist.com/pesquisa-de-satisfacao/","0.01","0.00","0.51","12100000","1.00,0.82,0.82,1.00,1.00,1.00,1.00,0.45,0.64,0.64,1.00,1.00","1513438270"
"como trabalhar no sac","9","9","140","79.43","0.00","https://blog.neoassist.com/5-regras-bom-atendimento-sac/","0.01","0.00","0.05","544000","0.03,0.06,0.15,0.06,0.04,1.00,0.44,0.10,0.01,0.29,0.19,0.29","1513546804"
"por chat","5","8","90","57.61","0.00","https://blog.neoassist.com/atendimento-por-chat-neoassist/","0.01","0.00","0.17","46700000","1.00,1.00,0.33,1.00,0.78,0.56,0.11,0.56,0.33,0.33,1.00,0.56","1513561855"
"atender","28","29","2900","78.05","0.19","https://blog.neoassist.com/como-atender-um-cliente-com-excelencia/","0.01","0.00","0.00","38000000","0.24,0.67,0.13,0.67,0.82,1.00,0.29,0.13,0.19,0.19,0.16,0.24","1513527436"
"atendimento encantador","5","0","90","56.87","0.00","https://blog.neoassist.com/bom-atendimento-ao-cliente-melhores-praticas/","0.01","0.00","0.01","569000","0.44,0.78,0.33,0.78,1.00,0.11,0.56,0.11,0.33,0.33,0.44,0.11","1510568638"
"avaliação de atendimento ao publico","6","5","90","68.58","0.00","https://blog.neoassist.com/5-tecnicas-para-descobrir-a-eficiencia-do-seu-servico-de-atendimento-ao-cliente-sac/","0.01","0.00","0.13","2290000","0.11,0.56,0.22,0.56,1.00,0.33,1.00,0.33,0.11,0.11,0.11,0.56","1511144419"
"tratamento ao cliente","6","10","90","55.84","0.74","https://blog.neoassist.com/bom-atendimento-ao-cliente-melhores-praticas/","0.01","0.00","0.19","14300000","0.78,0.56,0.22,0.56,1.00,1.00,1.00,0.33,0.56,0.56,0.33,0.11","1513431070"
"relacionamento com o cliente marketing","5","7","90","58.32","0.00","https://blog.neoassist.com/estrategias-de-marketing-de-relacionamento/","0.01","0.00","0.08","431000","0.22,0.22,0.56,0.22,0.78,1.00,0.33,1.00,0.56,0.56,0.22,0.56","1513580226"
"avaliação atendimento ao cliente","5","5","90","59.23","6.87","https://blog.neoassist.com/5-tecnicas-para-descobrir-a-eficiencia-do-seu-servico-de-atendimento-ao-cliente-sac/","0.01","0.02","0.39","1730000","0.44,0.78,0.33,0.78,1.00,0.11,0.56,0.11,0.33,0.33,0.44,0.11","1513432633"
"avaliação atendimento ao cliente","6","6","90","59.23","6.87","https://blog.neoassist.com/perguntas-sobre-atendimento-ao-cliente/","0.01","0.02","0.39","1730000","0.44,0.78,0.33,0.78,1.00,0.11,0.56,0.11,0.33,0.33,0.44,0.11","1513432633"
"frases de atendimento ao cliente","4","4","70","53.91","0.00","https://blog.neoassist.com/servico-de-atendimento-ao-cliente-frases-que-nao-devem-ser-ditas-pelo-seu-sac/","0.01","0.00","0.09","567000","1.00,0.56,1.00,0.78,0.78,0.44,0.56,0.78,0.78,0.56,1.00,0.78","1512446911"
"telemarketing e call center","11","12","90","65.18","3.35","https://blog.neoassist.com/o-que-e-call-center/","0.01","0.01","0.34","1880000","0.33,0.11,0.44,0.11,0.78,0.33,0.22,0.78,0.11,0.11,1.00,0.11","1513467415"
"o que é fidelização","11","12","90","62.10","0.00","https://blog.neoassist.com/fidelizacao-do-cliente/","0.01","0.00","0.07","1600000","0.79,1.00,0.36,0.64,0.79,0.79,0.79,0.50,0.36,0.64,1.00,1.00","1513567528"
"servico de atendimento ao cliente","3","3","50","61.49","0.94","https://blog.neoassist.com/o-que-e-sac/","0.01","0.00","0.26","58500000","0.57,0.57,0.43,0.57,0.43,0.43,0.71,0.57,1.00,1.00,0.71,1.00","1512542371"
"atendimento chat","5","6","90","78.83","1.40","https://blog.neoassist.com/5-dicas-para-melhorar-o-atendimento-via-chat/","0.01","0.00","0.55","927000","0.64,0.64,0.64,0.82,1.00,0.64,0.64,0.64,0.64,0.64,0.82,1.00","1512408151"
"história do atendimento ao cliente","11","8","90","61.83","0.03","https://blog.neoassist.com/qualidade-no-atendimento-ao-cliente-5-pilares/","0.01","0.00","0.24","665000","0.22,0.22,0.56,0.22,0.78,1.00,0.33,1.00,0.56,0.56,0.22,0.56","1513469016"
"telemarketing call centers","11","7","90","72.59","0.00","https://blog.neoassist.com/o-que-e-call-center/","0.01","0.00","0.67","11600000","0.11,0.11,0.56,0.11,1.00,0.78,1.00,0.33,0.11,0.11,0.44,0.56","1513547071"
"atendimento aos clientes","4","2","70","69.07","0.13","https://blog.neoassist.com/o-que-e-atendimento-ao-cliente/","0.01","0.00","0.18","19600000","1.00,0.78,0.56,0.56,0.78,0.44,0.78,0.44,0.78,0.78,1.00,0.78","1512594154"
"como fazer uma pesquisa de satisfação","6","5","90","50.50","1.46","https://blog.neoassist.com/como-fazer-pesquisa-de-satisfacao/","0.01","0.00","0.39","7360000","0.19,0.06,0.02,0.06,0.16,0.10,0.24,1.00,0.06,0.06,0.82,0.44","1513462472"
"regras de atendimento ao cliente","3","5","50","67.86","1.79","https://blog.neoassist.com/5-regras-bom-atendimento-sac/","0.01","0.00","0.09","620000","0.43,0.57,0.71,1.00,0.71,0.43,0.71,0.71,0.71,1.00,0.71,0.71","1512555177"
"medir satisfação do cliente","6","8","90","51.17","0.00","https://blog.neoassist.com/pesquisa-de-satisfacao/","0.01","0.00","0.17","392000","0.33,0.11,0.44,0.11,0.78,0.33,0.22,0.78,0.11,0.11,1.00,0.11","1513590492"
"o que é atendimento humanizado","9","8","140","57.73","2.83","https://blog.neoassist.com/atendimento-humanizado/","0.01","0.00","0.03","455000","0.10,0.10,0.05,0.10,0.82,0.55,0.24,1.00,0.16,0.16,0.16,0.24","1513375454"
"nps score","4","0","70","47.63","0.91","https://blog.neoassist.com/net-promoter-score-nps/","0.01","0.00","0.23","6790000","0.02,0.05,0.15,0.05,0.07,0.08,1.00,0.08,0.66,0.66,0.44,0.19","1511187676"
"dicas de atendimento ao cliente","13","12","480","64.98","1.30","https://blog.neoassist.com/bom-atendimento-ao-cliente-melhores-praticas/","0.01","0.00","0.16","748000","0.66,0.81,1.00,0.81,0.81,0.44,0.66,0.66,1.00,1.00,1.00,1.00","1513255461"
"pesquisa de satisfação do cliente questionário","10","0","140","58.21","1.82","https://blog.neoassist.com/questionario-de-satisfacao-do-cliente/","0.01","0.00","0.59","355000","1.00,0.19,0.44,0.19,0.36,0.12,0.12,0.55,0.36,0.36,0.24,0.24","1513392018"
"tudo sobre call center","3","0","50","59.70","0.00","https://blog.neoassist.com/o-que-e-call-center/","0.01","0.00","0.33","974000","0.57,0.71,0.71,0.71,0.71,0.29,0.57,0.57,0.57,1.00,0.71,0.43","1512520813"
"a importancia da satisfação do cliente","5","5","90","52.48","0.00","https://blog.neoassist.com/satisfacao-do-cliente/","0.01","0.00","0.02","150000","0.22,1.00,0.33,1.00,0.78,0.56,0.11,0.56,0.33,0.33,0.22,0.56","1511154033"
"definição cliente","6","8","90","73.15","0.00","https://blog.neoassist.com/o-que-e-satisfacao-do-cliente/","0.01","0.00","0.00","1010000","0.33,1.00,0.44,1.00,1.00,0.56,0.22,0.56,0.33,0.33,0.33,0.56","1511187355"
"treinamento atendimento","4","6","70","53.38","2.47","https://blog.neoassist.com/bom-atendimento-ao-cliente-melhores-praticas/","0.01","0.00","0.31","13200000","0.44,0.78,0.78,0.78,0.44,0.56,0.56,0.78,0.78,0.78,0.78,1.00","1512539308"
"o que é consumidor","36","35","6600","82.82","0.00","https://blog.neoassist.com/a-evolucao-do-consumidor-3-0/","0.01","0.00","0.01","6510000","0.55,0.02,0.04,0.02,0.16,1.00,0.67,0.29,0.09,0.44,0.16,0.55","1513527786"
"atendelos","10","0","140","60.86","0.00","https://blog.neoassist.com/7-tipos-de-clientes-que-voce-conhece-muito-bem-como-atende-los/","0.01","0.00","0.00","1130000","0.82,0.15,0.36,0.15,1.00,1.00,1.00,0.44,0.29,0.29,0.19,0.67","1511599978"
"questionário de avaliação de satisfação do cliente","11","19","90","54.07","0.00","https://blog.neoassist.com/questionario-de-satisfacao-em-8-passos/","0.01","0.00","0.14","355000","0.11,0.11,0.56,0.11,1.00,0.78,1.00,0.33,0.11,0.11,0.44,0.56","1513552352"
"frases para um bom atendimento ao cliente","6","0","90","62.22","0.00","https://blog.neoassist.com/servico-de-atendimento-ao-cliente-frases-que-nao-devem-ser-ditas-pelo-seu-sac/","0.01","0.00","0.14","1340000","0.11,0.56,0.22,0.56,1.00,0.33,1.00,0.33,0.11,0.11,0.11,0.56","1509740259"
"o que e cliente","6","7","90","64.64","0.00","https://blog.neoassist.com/o-que-e-atendimento-ao-cliente/","0.01","0.00","0.03","72700000","0.02,0.15,0.07,0.15,0.15,0.44,0.03,0.24,0.05,0.05,0.02,1.00","1513586822"
"cers com br","7","7","590","73.49","0.13","https://cers.neoassist.com/?th=chatcers","0.01","0.00","0.09","453000","0.55,0.55,0.12,0.55,0.19,0.36,0.44,0.19,0.12,0.12,1.00,0.12","1511589911"
"atenção ao cliente","2","2","30","67.74","4.52","https://blog.neoassist.com/bom-atendimento-ao-cliente-melhores-praticas/","0.00","0.01","0.05","19200000","1.00,0.75,1.00,0.50,0.50,0.75,0.50,0.25,0.75,1.00,0.75,0.75","1513104343"
"atendimento ao cliente treinamento","2","3","30","62.90","0.00","https://blog.neoassist.com/bom-atendimento-ao-cliente-melhores-praticas/","0.00","0.00","0.24","411000","0.40,0.40,0.60,0.40,0.80,0.40,0.40,0.60,0.80,1.00,0.80,0.60","1511888541"
"pesquisas de satisfação","7","0","90","60.10","3.87","https://blog.neoassist.com/como-fazer-pesquisa-de-satisfacao/","0.00","0.01","0.57","573000","0.64,0.82,0.82,1.00,0.82,0.36,0.45,0.45,1.00,1.00,1.00,0.82","1512415041"
"procedimento para atendimento ao cliente","11","7","70","54.92","8.08","https://blog.neoassist.com/bom-atendimento-ao-cliente-melhores-praticas/","0.00","0.02","0.28","565000","0.56,1.00,0.44,1.00,0.11,0.22,0.78,0.22,0.44,0.44,0.56,0.22","1511152801"
"gestão de relacionamento com o cliente crm","3","3","40","73.61","8.11","https://blog.neoassist.com/gestao-de-relacionamento-com-o-cliente/","0.00","0.02","0.71","450000","0.11,0.44,0.44,0.44,0.44,0.11,0.22,0.33,0.44,0.33,0.56,1.00","1512979528"
"tipos de atendimento ao cliente","9","8","110","64.53","0.29","https://blog.neoassist.com/7-tipos-de-clientes-que-voce-conhece-muito-bem-como-atende-los/","0.00","0.00","0.06","1460000","0.43,0.52,0.67,0.52,0.67,0.43,0.43,0.24,0.52,0.52,0.81,1.00","1512459160"
"como montar um call center sebrae","6","5","70","60.46","14.79","https://blog.neoassist.com/saiba-como-montar-um-call-center/","0.00","0.04","0.49","37000","0.29,1.00,0.43,1.00,0.14,0.57,0.14,0.57,0.29,0.29,0.29,1.00","1511148641"
"o que é um bom atendimento","8","10","110","64.29","0.06","https://blog.neoassist.com/bom-atendimento-ao-cliente-melhores-praticas/","0.00","0.00","0.17","6600000","0.64,1.00,1.00,0.79,0.64,0.36,0.64,0.79,1.00,0.79,0.79,1.00","1512398494"
"planejamento importancia","11","8","70","64.05","0.94","https://blog.neoassist.com/a-importancia-do-planejamento/","0.00","0.00","0.10","613000","0.78,0.78,0.22,0.78,1.00,0.11,1.00,0.44,0.78,0.78,0.33,0.22","1511200350"
