	keyword	Position	volume	difficulty	CPC	Competition	Backlinks	Domains	length_title	length_description	length_headline	Size	word_count	text_ratio	Inlinks	Outlinks	external_outlinks	url_score	url_trust	avg_backlink_score	avg_backlink_trust	competitor	type
312	chat para site gratuito	43	90	57.19	0.84	0.7	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
313	sistema de atendimento web	28	20	51.66	3.61	0.68	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
314	minhas pastas	70	480	85.8	0.0	0.0	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
315	o chamado online	42	480	47.97	1.23	0.05	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
316	preços e	78	30	81.12	0.0	0.09	0.0	0.0	80.0	157.0	30.0	24197.0	222.0	6.013142	17.0	30.0	9.0	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
317	e-mail locaweb	68	390	58.85	0.13	0.14	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
318	senha da sky	95	720	79.59	2.67	0.14	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
319	intensicare	28	720	70.22	0.0	0.0	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
320	baixar meu tom para pc	46	90	83.08	0.0	0.03	0.0	0.0	74.0	157.0	9.0	26248.0	223.0	5.836635	32.0	27.0	23.0	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
321	baixar my tom gratis	74	20	89.65	0.03	0.09	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
322	digifred	38	110	60.6	0.0	0.0	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	10.0	0.0	60.72137742892103	62.16415285889706	tomticket	second_page
323	criar chat html	69	90	65.96	0.0	0.33	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
324	meu tom gratis	86	260	88.97	0.03	0.25	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
325	para chat	35	20	64.67	0.0	0.17	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
326	testes de conexão	80	70	70.13	0.0	0.02	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
327	erro c420 sped fiscal	94	90	62.74	0.0	0.03	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
328	sistema informatica online	58	90	51.03	0.0	0.04	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
329	meu tom online	58	40	87.22	0.0	0.1	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
330	verificar blacklist	29	210	42.98	1.3	0.03	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
331	cx de entrada hotmail	80	90	81.19	0.0	0.07	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
332	defina conhecimento	44	170	82.54	0.0	0.06	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
333	cadastro de clientes online	72	320	68.51	5.18	0.9	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
334	atendimento online para site	23	70	48.39	1.89	0.92	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
335	impressora samsung scx 4623f	96	140	79.25	1.69	0.97	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
336	notebook cia	80	50	68.21	0.0	0.14	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
337	web chat gratuito	51	30	57.58	0.26	0.46	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
338	base de conhecimento	65	390	62.11	3.65	0.12	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
339	www.helpdesk	24	40	27.32	17.1	0.58	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
340	caixa de entrada hotmail	66	9900	88.45	0.06	0.04	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
341	pesquisa ticket	62	40	55.83	0.42	0.24	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
342	vivo gestao empresa login	75	90	66.3	4.75	0.32	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	9.0	9.0	1.0	0.0	tomticket	second_page
343	programa para quebrar senha do windows 7	25	140	79.16	0.0	0.01	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
344	tda informatica	29	90	83.33	0.0	0.01	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
345	loguin vivo	50	90	92.84	2.18	0.19	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	9.0	9.0	1.0	0.0	tomticket	second_page
346	o que help desk	20	30	67.62	0.0	0.63	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
347	extensos	79	260	86.27	0.0	0.0	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
348	software para help desk	69	40	54.01	58.66	0.94	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
349	atendentes	29	320	77.26	0.06	0.14	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
350	tom gratuito	41	30	92.27	0.03	0.36	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
351	caixa de entrada do meu email	57	40	89.91	0.16	0.66	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
352	impressora scx 4623f	66	20	84.12	0.81	1.0	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
354	rodape html	71	90	72.84	0.0	0.02	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
355	help desk web application	34	90	54.68	0.0	0.0	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
356	caixa de entrada outlook entrar	75	170	91.62	0.03	0.01	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
357	hotmail caixa de entrada	59	6600	90.5	0.03	0.03	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
358	tom baixar	34	590	90.44	0.03	0.21	0.0	0.0	74.0	157.0	9.0	26248.0	223.0	5.836635	32.0	27.0	23.0	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
359	programa para quebrar a senha do windows 7	31	90	76.13	0.0	0.0	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
360	loca web mail	60	90	59.45	0.81	0.14	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
361	pesquisa outlook	13	50	71.23	2.05	0.21	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
362	o que significa lbs	61	210	76.95	4.23	0.01	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
363	speedwebsky	24	260	70.87	7.23	0.02	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
364	base de artigos	98	90	77.61	0.0	0.09	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
365	caixa de entrada hotmail outlook	25	170	84.38	0.03	0.03	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
366	mensagem de conhecimento	51	170	71.72	0.0	0.01	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
367	sky speedweb	29	70	74.58	0.0	0.02	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
368	minha caixa de email hotmail	75	30	86.41	0.42	0.3	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
369	tá grátis	81	70	75.66	0.0	0.04	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
370	instalar meu tom gratis	79	30	90.12	0.03	0.29	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
371	hospital canto do forte	34	140	77.07	1.75	0.0	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
372	aion cadastro	28	20	73.93	0.0	0.0	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
373	esqueci a senha da sky	63	320	67.93	3.71	0.13	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
374	sky login e senha	60	170	66.93	1.36	0.11	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
375	central de atendimento ticket	69	170	67.81	0.19	0.12	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
376	web help desk free	37	90	53.94	114.65	1.0	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
377	ativar pop up	79	140	81.66	0.0	0.01	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
378	download do meu tom	41	20	83.08	0.03	0.1	0.0	0.0	74.0	157.0	9.0	26248.0	223.0	5.836635	32.0	27.0	23.0	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
379	hotmail caixa de entrada de email	43	30	81.52	0.16	0.43	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
380	app do tom	62	20	77.7	1.59	0.35	0.0	0.0	74.0	157.0	9.0	26248.0	223.0	5.836635	32.0	27.0	23.0	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
381	suporte tovs	93	70	68.2	0.0	0.01	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
382	vivo gestao login	52	40	72.09	0.91	0.08	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	9.0	9.0	1.0	0.0	tomticket	second_page
383	recuperar senha do notebook	54	70	88.9	0.03	0.03	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
384	contrato sla	68	90	59.58	0.91	0.06	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
385	downloand	88	140	86.51	0.0	0.01	0.0	0.0	74.0	157.0	9.0	26248.0	223.0	5.836635	32.0	27.0	23.0	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
386	baixar google chrome baixaki	69	720	95.77	0.58	0.09	0.0	0.0	74.0	157.0	9.0	26248.0	223.0	5.836635	32.0	27.0	23.0	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
387	toner para impressora	67	480	82.85	2.34	1.0	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
388	www.e-ticket.com.br	88	40	48.39	1.53	0.29	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	9.0	9.0	1.0	0.0	tomticket	second_page
389	atendimento online chat	99	20	70.3	1.4	0.82	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
390	apps ios	84	320	84.55	0.06	0.15	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
391	meu tom baixar	98	390	90.21	0.03	0.16	0.0	0.0	74.0	157.0	9.0	26248.0	223.0	5.836635	32.0	27.0	23.0	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
392	template relatorio	58	90	64.23	0.0	0.0	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
393	ead instituto ayrton senna	21	110	54.43	3.32	0.34	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
394	baixar o ton	63	320	92.03	0.0	0.02	0.0	0.0	74.0	157.0	9.0	26248.0	223.0	5.836635	32.0	27.0	23.0	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
395	o que e lbs	58	880	77.2	0.0	0.05	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
396	ler meus emails gmail	52	50	91.09	0.16	0.42	0.0	0.0	69.0	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
397	aplicativo do tom gratis	72	40	92.33	0.06	0.34	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
398	ticket central de atendimento	93	50	67.23	2.24	0.14	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
399	netma	52	320	18.69	3.91	0.07	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
400	sistema de chat online	16	50	39.64	3.09	0.93	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
401	localweb email	63	590	61.4	0.19	0.19	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
402	atendimento online site	90	20	53.97	4.39	0.91	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
403	software de atendimento	56	20	52.24	3.42	0.9	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
404	caixa de mensagens do hotmail	80	50	91.73	0.0	0.06	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
405	download do tom	28	50	90.36	0.0	0.21	0.0	0.0	74.0	157.0	9.0	26248.0	223.0	5.836635	32.0	27.0	23.0	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
406	sem cadastro	94	260	84.96	0.0	0.2	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
407	controle de horas online	80	70	52.08	2.63	0.59	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
408	painel de login	42	90	40.73	0.0	0.02	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	9.0	9.0	1.0	0.0	tomticket	second_page
409	baixar o aplicativo meu tom	74	30	91.36	0.0	0.18	0.0	0.0	74.0	157.0	9.0	26248.0	223.0	5.836635	32.0	27.0	23.0	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
410	entra outlook	79	1600	80.53	0.0	0.01	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
411	hotmail com caixa de entrada	60	140	90.08	0.0	0.06	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
412	cadastro de clientes gratis em portugues	72	70	85.66	6.32	0.74	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
413	chat no meu site	82	20	62.47	1.36	0.67	1161.3315252766326	5.076806248643957	60.16056338028169	158.86563614744352	25.57015457788347	36233.07431629013	920.3168846611177	15.88141266527944	183.60939357907253	62.994649227110585	23.43935790725327	11.908854166666666	13.176432291666666	60.72137742892103	62.16415285889706	tomticket	second_page
414	ferramentas de help desk	53	70	54.51	30.66	0.95	21.0	17.0	62.0	157.0	0.0	34164.0	805.0	15.1855755	131.0	33.0	22.0	3.0	0.0	7.0	6.0	tomticket	second_page
