	keyword	Position	volume	difficulty	CPC	Url	Competition	title	Backlinks	Domains	length_title	length_description	length_headline	Size	word_count	text_ratio	Inlinks	Outlinks	external_outlinks	url_score	url_trust	avg_backlink_score	avg_backlink_trust	competitor	type
883	simulação de atendimento ao cliente	56	20	69.7	1.89	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	0.11				67.0	151.0	8.0	74036.0	2543.0	22.54984	28.0	52.0	5.0					octadesk	second_page
884	software cliente	97	30	72.14	0.0	https://blog.octadesk.com/sistema-de-atendimento-ao-cliente/	0.19				68.0	150.0	8.0	73471.0	1974.0	17.695417000000003	31.0	62.0	5.0					octadesk	second_page
885	planilha excel cadastro de clientes	48	90	73.09	3.55	https://blog.octadesk.com/planilha-de-cadastro-de-clientes/	0.34																	octadesk	second_page
886	mau atendimento ou mal atendimento	21	140	72.62	0.0	https://blog.octadesk.com/mau-atendimento-excelente-produto/	0.0				64.0	135.0	8.0	69851.0	1779.0	16.03556	14.0	60.0	5.0					octadesk	second_page
887	oq é atendimento ao cliente	61	90	74.89	0.0	https://www.octadesk.com/	0.2	Help Desk e sistema de atendimento ao cliente Octadesk	20.0	13.0	54.0	121.0	105.0	30577.0	434.0	9.428656	393.0	2.0	5.0	10.0	10.0	24.545454545454547	34.18181818181818	octadesk	second_page
912	tipos de abordagem ao cliente	79	90	67.5	0.0	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	0.1				63.0	151.0	8.0	94029.0	4469.0	30.293846000000002	13.0	64.0	5.0					octadesk	second_page
913	pop atendimento ao cliente	19	90	66.56	63.55	https://blog.octadesk.com/o-sac-nunca-foi-tao-pop/	0.24				50.0	133.0	8.0	55867.0	495.0	5.754739	132.0	57.0	6.0					octadesk	second_page
914	sinonimo de suporte	81	260	83.09	0.0	https://blog.octadesk.com/saiba-porque-sua-equipe-de-atendimento-nao-atende-bem/	0.0				61.0	140.0	8.0	62665.0	940.0	9.44706	21.0	61.0	7.0					octadesk	second_page
915	plano e plano construtora	56	260	72.06	0.68	https://www.octadesk.com/planos/sistema-de-chamados	0.35																	octadesk	second_page
916	zendesk	42	5400	72.46	71.86	https://www.octadesk.com/concorrentes/zendesk	0.41																	octadesk	second_page
917	atendimento ao cliente treinamento	24	30	62.9	0.0	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	0.24				63.0	151.0	8.0	94029.0	4469.0	30.293846000000002	13.0	64.0	5.0					octadesk	second_page
918	atendimento a empresas	71	20	83.24	2.21	https://blog.octadesk.com/dez-dicas-de-atendimento-ao-cliente-para-pequenas-empresas/	0.08				57.0	146.0	8.0	71415.0	1624.0	14.585172	25.0	60.0	5.0					octadesk	second_page
919	campanha do outubro rosa	17	50	69.59	0.0	https://blog.octadesk.com/outubro-rosa/	0.05																	octadesk	second_page
920	chat online para sites	56	30	51.14	1.56	https://blog.octadesk.com/chat-octadesk-canal-de-atendimento-online/	0.95				51.0	151.0	8.0	60813.0	937.0	9.881111	9.0	57.0	5.0					octadesk	second_page
921	sla service desk	82	70	43.29	0.0	https://www.octadesk.com/help-desk	0.62	Conheça o Octadesk - Sistema de Help Desk	0.0	0.0	41.0	69.0	83.0	44636.0	691.0	10.377274	113.0	3.0	5.0					octadesk	second_page
922	ebooks de	49	90	57.18	0.0	https://blog.octadesk.com/ebooks-atendimento-ao-cliente/	0.0																	octadesk	second_page
923	modelo de cadastro de clientes excel	87	90	73.39	2.31	https://blog.octadesk.com/planilha-de-cadastro-de-clientes/	0.32																	octadesk	second_page
924	central de relacionamento claro	69	480	78.59	3.03	https://blog.octadesk.com/monte-uma-central-de-atendimento-ao-cliente/	0.24				50.0	138.0	8.0	77358.0	2121.0	18.192865	9.0	62.0	5.0					octadesk	second_page
925	treinamento de atendimento ao cliente	41	390	55.64	1.95	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	0.38				63.0	151.0	8.0	94029.0	4469.0	30.293846000000002	13.0	64.0	5.0					octadesk	second_page
926	sebrae faça e aconteça	93	30	66.99	0.03	https://blog.octadesk.com/dez-dicas-de-atendimento-ao-cliente-para-pequenas-empresas/	0.06				57.0	146.0	8.0	71415.0	1624.0	14.585172	25.0	60.0	5.0					octadesk	second_page
927	hierarquia de processos	85	390	59.77	0.0	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	0.03				67.0	151.0	8.0	74036.0	2543.0	22.54984	28.0	52.0	5.0					octadesk	second_page
928	abordagem ao cliente	62	170	60.41	3.38	https://blog.octadesk.com/guia-de-atendimento-ao-cliente/	0.13				59.0	125.0	8.0	71803.0	1765.0	16.12189	10.0	70.0	5.0					octadesk	second_page
929	excelência em atendimento ao cliente	22	70	74.3	0.87	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	0.43				65.0	145.0	8.0	76803.0	2312.0	18.595629000000002	24.0	61.0	7.0					octadesk	second_page
930	principais qualidades de um profissional	36	90	74.44	0.0	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	0.05				66.0	147.0	8.0	60451.0	920.0	9.864187	7.0	57.0	5.0					octadesk	second_page
931	adapte se	95	480	78.07	0.0	https://blog.octadesk.com/contabilidade-nao-complicar-crise/	0.02																	octadesk	second_page
932	cadastro de cliente gratis	39	90	82.6	4.95	https://blog.octadesk.com/planilha-de-cadastro-de-clientes/	0.73																	octadesk	second_page
933	perguntas de atendimento ao cliente	19	70	54.18	2.05	https://blog.octadesk.com/13-maneiras-rapidas-para-verificar-se-sua-empresa-tem-um-problema-de-atendimento-ao-cliente/	0.33				67.0	139.0	8.0	63448.0	829.0	8.306014999999999	1.0	63.0	5.0					octadesk	second_page
934	cadastros de clientes gratis	39	20	80.01	5.18	https://blog.octadesk.com/planilha-de-cadastro-de-clientes/	0.9																	octadesk	second_page
935	desk to desk	60	90	62.45	0.0	https://www.octadesk.com/	0.0	Help Desk e sistema de atendimento ao cliente Octadesk	20.0	13.0	54.0	121.0	105.0	30577.0	434.0	9.428656	393.0	2.0	5.0	10.0	10.0	24.545454545454547	34.18181818181818	octadesk	second_page
960	programa help desk	60	20	61.69	67.0	https://www.octadesk.com/termo-de-uso	0.97																	octadesk	second_page
961	modelo check list	49	590	62.92	0.03	https://blog.octadesk.com/checklist-de-atendimento-helpdesk/	0.02																	octadesk	second_page
962	zappos blog	81	70	48.71	0.0	https://blog.octadesk.com/6-dicas-da-zappos-sobre-atendimento-ao-cliente/	0.0																	octadesk	second_page
963	importancia do cliente para a empresa	68	90	56.5	0.0	http://blog.octadesk.com/importancia-do-atendimento/	0.04																	octadesk	second_page
964	que programa também é conhecido como software cliente	84	90	63.3	0.0	https://blog.octadesk.com/os-primeiros-passos-para-iniciar-um-programa-de-atendimento-ao-cliente/	0.0																	octadesk	second_page
965	o que é diferença	72	880	76.05	0.0	https://blog.octadesk.com/diferenca-omnichannel-multichannel/	0.0				69.0	146.0	8.0	65707.0	1414.0	13.860016	39.0	58.0	7.0					octadesk	second_page
966	reclamações aqui	19	40	82.86	0.09	http://blog.octadesk.com/como-evitar-que-sua-empresa-apareca-no-reclame-aqui/	0.08																	octadesk	second_page
967	principais processos de uma empresa	83	90	55.82	0.74	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	0.12				67.0	151.0	8.0	74036.0	2543.0	22.54984	28.0	52.0	5.0					octadesk	second_page
968	facebook reclamações	91	30	89.03	0.0	https://blog.octadesk.com/como-evitar-que-sua-empresa-apareca-no-reclame-aqui/	0.03																	octadesk	second_page
969	fidelizando clientes	95	70	71.41	2.6	https://blog.octadesk.com/fidelizacao-de-clientes-balde-furado/	0.31				58.0	151.0	8.0	73134.0	2243.0	18.96929	12.0	64.0	6.0					octadesk	second_page
970	ebook para baixar	80	40	66.95	0.0	https://www.octadesk.com/materiais-para-helpdesk	0.11																	octadesk	second_page
971	retenção e fidelização de clientes	64	70	60.44	0.0	https://blog.octadesk.com/fidelizacao-de-clientes-balde-furado/	0.16				58.0	151.0	8.0	73134.0	2243.0	18.96929	12.0	64.0	6.0					octadesk	second_page
972	plano de garantia da qualidade	66	90	62.14	0.0	https://blog.octadesk.com/metodologia-qualidade-no-atendimento-ao-cliente/	0.02				69.0	141.0	8.0	73493.0	1669.0	14.798689000000001	17.0	64.0	5.0					octadesk	second_page
973	planilha cadastro	39	30	68.62	0.0	https://blog.octadesk.com/planilha-de-cadastro-de-clientes/	0.11																	octadesk	second_page
974	help desk free	75	170	59.77	21.05	https://www.octadesk.com/	0.91	Help Desk e sistema de atendimento ao cliente Octadesk	20.0	13.0	54.0	121.0	105.0	30577.0	434.0	9.428656	393.0	2.0	5.0	10.0	10.0	24.545454545454547	34.18181818181818	octadesk	second_page
999	check list modelo	66	110	63.43	0.0	https://blog.octadesk.com/checklist-de-atendimento-helpdesk/	0.01																	octadesk	second_page
1000	atendimento american express	77	170	69.51	0.03	https://blog.octadesk.com/guia-de-atendimento-ao-cliente/	0.03				59.0	125.0	8.0	71803.0	1765.0	16.12189	10.0	70.0	5.0					octadesk	second_page
1001	texto sobre atendimento ao cliente	32	50	68.45	0.52	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	0.37				63.0	151.0	8.0	94029.0	4469.0	30.293846000000002	13.0	64.0	5.0					octadesk	second_page
1002	chat disponível	89	70	85.61	0.03	https://www.octadesk.com/chat-para-site	0.24																	octadesk	second_page
1003	tempo no site	32	40	82.21	0.06	https://www.octadesk.com/chat-para-site	0.09																	octadesk	second_page
1004	modelos de planilhas de controle	69	40	76.79	0.97	http://blog.octadesk.com/planilha-de-controle-de-chamados/	0.62																	octadesk	second_page
1005	atendimento diferenciado ao cliente	43	40	51.71	0.94	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	0.05				65.0	145.0	8.0	76803.0	2312.0	18.595629000000002	24.0	61.0	7.0					octadesk	second_page
1006	atendimento netflix	23	320	65.72	0.0	https://blog.octadesk.com/cultura-de-atendimento-o-que-e/	0.05				50.0	147.0	8.0	89076.0	3262.0	23.133055	33.0	63.0	20.0					octadesk	second_page
1007	o que gestão de pessoas	91	110	63.62	2.63	https://blog.octadesk.com/gestao-de-pessoas-atendimento-ao-cliente/	0.66				63.0	150.0	8.0	72486.0	2054.0	18.039345	41.0	63.0	5.0					octadesk	second_page
1008	e commerce news	83	480	51.67	3.09	https://blog.octadesk.com/e-commerce-news/	0.17				50.0	156.0	8.0	55062.0	390.0	4.705604599999999	19.0	56.0	6.0					octadesk	second_page
1009	planilha controle clientes	45	20	77.05	0.0	https://blog.octadesk.com/kit-planilhas-de-atendimento-ao-cliente/	0.44				64.0	148.0	8.0	63665.0	1215.0	12.411843	8.0	60.0	5.0					octadesk	second_page
1010	planilha controle clientes	44	20	77.05	0.0	https://blog.octadesk.com/planilha-de-cadastro-de-clientes/	0.44																	octadesk	second_page
1011	importancia dos clientes para a empresa	87	90	61.73	0.0	http://blog.octadesk.com/importancia-do-atendimento/	0.0																	octadesk	second_page
1012	dicas de empresas	58	40	71.58	1.62	http://blog.octadesk.com/dez-dicas-de-atendimento-ao-cliente-para-pequenas-empresas/	0.33																	octadesk	second_page
1013	qualidades de um profissional	92	260	69.17	0.0	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	0.03				66.0	147.0	8.0	60451.0	920.0	9.864187	7.0	57.0	5.0					octadesk	second_page
1014	sistema de chamados online	18	70	42.9	9.48	https://www.octadesk.com/	0.95	Help Desk e sistema de atendimento ao cliente Octadesk	20.0	13.0	54.0	121.0	105.0	30577.0	434.0	9.428656	393.0	2.0	5.0	10.0	10.0	24.545454545454547	34.18181818181818	octadesk	second_page
1039	reclae aqui	73	170	72.93	0.0	https://blog.octadesk.com/como-evitar-que-sua-empresa-apareca-no-reclame-aqui/	0.01																	octadesk	second_page
1040	o que é gestão por processo	46	20	66.67	0.03	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	0.22				67.0	151.0	8.0	74036.0	2543.0	22.54984	28.0	52.0	5.0					octadesk	second_page
1041	site com chat	36	20	53.33	1.98	https://www.octadesk.com/chat-para-site	0.91																	octadesk	second_page
1042	www endi com ultima hora	79	70	46.9	0.0	https://blog.octadesk.com/vendas-dia-dos-namorados-ig/	0.0				68.0	131.0	8.0	55471.0	454.0	5.375782	5.0	53.0	6.0					octadesk	second_page
1043	relacionamento com o cliente	48	880	71.49	4.95	https://blog.octadesk.com/erros-comuns-relacionamento-com-o-cliente/	0.37				51.0	136.0	8.0	63522.0	1068.0	10.638834	31.0	58.0	9.0					octadesk	second_page
1044	sistema de atendimento online	17	90	41.83	5.67	https://www.octadesk.com/	0.93	Help Desk e sistema de atendimento ao cliente Octadesk	20.0	13.0	54.0	121.0	105.0	30577.0	434.0	9.428656	393.0	2.0	5.0	10.0	10.0	24.545454545454547	34.18181818181818	octadesk	second_page
1069	sistema de atendimento online	16	90	41.83	5.67	https://www.octadesk.com/sistema-atendimento-online-ad	0.93																	octadesk	second_page
1070	dicas de melhorias para empresa	61	90	61.48	0.0	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	0.05				67.0	151.0	8.0	74036.0	2543.0	22.54984	28.0	52.0	5.0					octadesk	second_page
1071	procedimento para atendimento ao cliente	17	70	54.92	8.08	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	0.28				63.0	151.0	8.0	94029.0	4469.0	30.293846000000002	13.0	64.0	5.0					octadesk	second_page
1072	relação entre empresa e cliente	27	90	66.83	3.84	https://blog.octadesk.com/relacao-sac-consumidor-melhorado/	0.03				57.0	145.0	8.0	55275.0	452.0	5.3496156	131.0	57.0	6.0					octadesk	second_page
1073	reclme aqui	37	590	74.87	0.19	https://blog.octadesk.com/como-evitar-que-sua-empresa-apareca-no-reclame-aqui/	0.03																	octadesk	second_page
1074	chat.com	99	1000	55.41	0.91	https://www.octadesk.com/chat-para-site	0.27																	octadesk	second_page
1075	imagens atendimento ao cliente	87	30	62.26	0.0	https://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	0.0				57.0	153.0	8.0	75319.0	1947.0	16.345144	20.0	61.0	5.0					octadesk	second_page
1076	reclame aqui cursos 24 horas	30	30	69.26	0.0	https://blog.octadesk.com/como-evitar-que-sua-empresa-apareca-no-reclame-aqui/	0.12																	octadesk	second_page
1077	controle de clientes excel	84	110	70.58	1.49	https://blog.octadesk.com/planilha-de-cadastro-de-clientes/	0.29																	octadesk	second_page
1078	tipos de atendimento ao cliente	49	110	64.53	0.29	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	0.06				63.0	151.0	8.0	94029.0	4469.0	30.293846000000002	13.0	64.0	5.0					octadesk	second_page
1079	como fazer reclamação no reclame aqui	14	30	82.63	0.0	https://blog.octadesk.com/como-evitar-que-sua-empresa-apareca-no-reclame-aqui/	0.02																	octadesk	second_page
1080	chamados	55	1600	68.78	1.69	https://www.octadesk.com/planos/sistema-de-chamados	0.0																	octadesk	second_page
1081	caracteristicas de uma boa pessoa	83	90	72.64	0.0	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	0.0				66.0	147.0	8.0	60451.0	920.0	9.864187	7.0	57.0	5.0					octadesk	second_page
1082	otimo atendimento	20	90	66.42	0.0	https://blog.octadesk.com/otimo-atendimento-empresa-cresce/	0.1																	octadesk	second_page
1083	reclamação de bancos onde fazer	95	70	85.85	0.0	https://blog.octadesk.com/como-diminuir-o-numero-de-reclamacoes-no-atendimento-ao-cliente/	0.02																	octadesk	second_page
1084	cadastros de clientes	76	70	73.27	5.01	https://blog.octadesk.com/planilha-de-cadastro-de-clientes/	0.77																	octadesk	second_page
1085	zendesl	40	90	72.03	9.02	https://www.octadesk.com/concorrentes/zendesk	0.48																	octadesk	second_page
1086	atendimento e qualidade	15	90	57.61	0.0	https://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	0.04				57.0	153.0	8.0	75319.0	1947.0	16.345144	20.0	61.0	5.0					octadesk	second_page
1087	qualidade das pessoas	35	110	80.94	0.0	https://blog.octadesk.com/gestao-de-pessoas-atendimento-ao-cliente/	0.05				63.0	150.0	8.0	72486.0	2054.0	18.039345	41.0	63.0	5.0					octadesk	second_page
1088	excelencia no atendimento ao cliente	21	110	72.36	2.05	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	0.3				65.0	145.0	8.0	76803.0	2312.0	18.595629000000002	24.0	61.0	7.0					octadesk	second_page
1089	atende bem	66	880	81.86	0.03	https://blog.octadesk.com/saiba-porque-sua-equipe-de-atendimento-nao-atende-bem/	0.23				61.0	140.0	8.0	62665.0	940.0	9.44706	21.0	61.0	7.0					octadesk	second_page
1090	o que faz uma promoter	87	90	80.44	0.03	https://blog.octadesk.com/porque-usar-nps/	0.0				56.0	149.0	8.0	68052.0	1403.0	12.793158	128.0	57.0	7.0					octadesk	second_page
1091	os planos	70	480	82.5	4.72	https://www.octadesk.com/planos/sistema-de-chamados	0.21																	octadesk	second_page
1092	modelo de gestão de processos	23	90	70.25	2.73	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	0.49				67.0	151.0	8.0	74036.0	2543.0	22.54984	28.0	52.0	5.0					octadesk	second_page
1093	planilha de cadastro de clientes gratis	40	210	69.27	1.85	https://blog.octadesk.com/planilha-de-cadastro-de-clientes/	0.56																	octadesk	second_page
1094	zappos online	81	70	65.59	0.0	https://blog.octadesk.com/6-dicas-da-zappos-sobre-atendimento-ao-cliente/	0.0																	octadesk	second_page
1095	video atendimento ao cliente	26	140	73.22	0.0	https://www.octadesk.com/atendimento-ao-cliente	0.03				54.0	83.0	57.0	50365.0	1096.0	14.643105499999999	114.0	26.0	5.0					octadesk	second_page
1096	gestão de processos e qualidade	81	20	77.13	0.0	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	0.65				67.0	151.0	8.0	74036.0	2543.0	22.54984	28.0	52.0	5.0					octadesk	second_page
1097	fidelização de clientes conceito	72	70	73.23	9.12	https://blog.octadesk.com/o-que-e-customer-centric/	0.24				70.0	153.0	8.0	73717.0	2223.0	19.648113000000002	43.0	61.0	9.0					octadesk	second_page
1098	o que é um bom atendimento	15	110	64.29	0.06	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	0.17				70.0	138.0	8.0	74110.0	2183.0	18.704628	9.0	60.0	8.0					octadesk	second_page
1099	lista de check list	75	20	79.01	0.0	https://blog.octadesk.com/checklist-de-atendimento-helpdesk/	0.01																	octadesk	second_page
1100	blog relacionamento	31	170	49.65	0.55	https://blog.octadesk.com/category/octa-school/metodologia-octadesk/relacionamento-com-o-cliente/	0.2																	octadesk	second_page
1101	sistema ser	54	260	66.68	1.53	https://blog.octadesk.com/sistema-de-atendimento-ao-cliente/	0.1				68.0	150.0	8.0	73471.0	1974.0	17.695417000000003	31.0	62.0	5.0					octadesk	second_page
1102	quanto custa uma empresa	92	20	63.11	1.1	https://blog.octadesk.com/quanto-custa-um-atendimento-ruim-para-a-sua-empresa/	0.25																	octadesk	second_page
1103	modelo de planilhas de controle	98	20	74.75	1.1	https://blog.octadesk.com/planilha-de-controle-de-chamados/	0.52																	octadesk	second_page
1104	esselencia	79	140	59.09	0.0	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	0.0				65.0	145.0	8.0	76803.0	2312.0	18.595629000000002	24.0	61.0	7.0					octadesk	second_page
1105	reclame já	49	210	81.59	0.09	https://blog.octadesk.com/como-evitar-que-sua-empresa-apareca-no-reclame-aqui/	0.01																	octadesk	second_page
1106	frases cliente satisfeito	71	90	58.48	0.0	https://blog.octadesk.com/atendimento-ao-cliente-como-se-destacar-da-concorrencia/	0.02				56.0	151.0	8.0	60744.0	963.0	10.373041	4.0	59.0	5.0					octadesk	second_page
1107	qualidade no atendimento a clientes	8	20	50.03	0.0	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	0.05				63.0	151.0	8.0	94029.0	4469.0	30.293846000000002	13.0	64.0	5.0					octadesk	first_page
1108	chat online site	24	40	52.44	1.82	https://www.octadesk.com/chat-para-site	0.88																	octadesk	second_page
1109	planilha de cadastro	32	90	73.68	2.08	https://blog.octadesk.com/planilha-de-cadastro-de-clientes/	0.2																	octadesk	second_page
1110	não mais pelo reclame aqui	42	390	97.9	1.49	https://blog.octadesk.com/como-evitar-que-sua-empresa-apareca-no-reclame-aqui/	0.01																	octadesk	second_page
1111	sistema atendimento online	10	30	35.94	4.98	https://www.octadesk.com/sistema-atendimento-online-ad	0.96																	octadesk	first_page
1112	dicas de arquitetos	41	30	73.17	0.29	https://blog.octadesk.com/atendimento-ao-cliente-para-arquitetos/	0.12				73.0	145.0	8.0	63229.0	1123.0	10.898479	38.0	57.0	10.0					octadesk	second_page
1113	frases sobre atendimento ao cliente	47	50	56.86	0.29	http://blog.octadesk.com/6-dicas-da-zappos-sobre-atendimento-ao-cliente/	0.07																	octadesk	second_page
1114	planilha de prioridades	61	90	75.25	0.65	https://blog.octadesk.com/porque-nao-usar-planilha-de-atendimento/	0.11				72.0	156.0	8.0	74772.0	2131.0	18.345102	11.0	59.0	6.0					octadesk	second_page
1115	um bom atendimento ao cliente	14	90	55.59	0.29	https://blog.octadesk.com/guia-de-atendimento-ao-cliente/	0.2				59.0	125.0	8.0	71803.0	1765.0	16.12189	10.0	70.0	5.0					octadesk	second_page
1116	um bom atendimento ao cliente	13	90	55.59	0.29	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	0.2				70.0	138.0	8.0	74110.0	2183.0	18.704628	9.0	60.0	8.0					octadesk	second_page
1117	planos da	30	30	76.79	5.11	https://www.octadesk.com/planos/sistema-de-chamados	0.28																	octadesk	second_page
1118	helpdek	12	30	53.48	0.0	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	0.6				72.0	146.0	8.0	67714.0	1729.0	16.277282999999997	23.0	57.0	5.0					octadesk	second_page
1119	como criar processos em uma empresa	39	90	63.86	0.0	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	0.35				67.0	151.0	8.0	74036.0	2543.0	22.54984	28.0	52.0	5.0					octadesk	second_page
1120	dinamica atendimento ao cliente	84	110	67.18	0.78	https://blog.octadesk.com/otimo-atendimento-empresa-cresce/	0.27																	octadesk	second_page
1121	dicas relacionamento	86	480	80.96	0.87	https://blog.octadesk.com/dicas-relacionamento-com-o-cliente/	0.19				54.0	156.0	8.0	65243.0	1362.0	13.107920000000002	18.0	58.0	8.0					octadesk	second_page
1122	principios do bom atendimento	23	70	62.9	0.0	https://blog.octadesk.com/nocoes-de-atendimento-equipe/	0.0				59.0	137.0	8.0	72732.0	1696.0	14.864158999999999	19.0	65.0	5.0					octadesk	second_page
1123	abra seu atendimento	99	2900	70.03	0.0	https://www.octadesk.com/chat-para-site	0.0																	octadesk	second_page
1124	qualidades de uma pessoa boa	84	260	78.16	2.7	https://blog.octadesk.com/gestao-de-pessoas-atendimento-ao-cliente/	0.01				63.0	150.0	8.0	72486.0	2054.0	18.039345	41.0	63.0	5.0					octadesk	second_page
1125	reclame reclame aqui	24	70	77.81	0.0	https://blog.octadesk.com/como-evitar-que-sua-empresa-apareca-no-reclame-aqui/	0.02																	octadesk	second_page
1126	como diminuir o	17	90	78.73	0.0	https://blog.octadesk.com/como-diminuir-o-numero-de-reclamacoes-no-atendimento-ao-cliente/	0.09																	octadesk	second_page
1127	curso de atendimento ao cliente gratis	46	90	77.46	1.36	https://blog.octadesk.com/sebrae-oferece-curso-gratuito-sobre-atendimento-ao-cliente/	0.64																	octadesk	second_page
1128	planilha de controle	86	880	72.45	2.77	https://blog.octadesk.com/planilha-de-controle-de-chamados/	0.56																	octadesk	second_page
1129	gestão em processos	82	20	62.17	4.98	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	0.86				67.0	151.0	8.0	74036.0	2543.0	22.54984	28.0	52.0	5.0					octadesk	second_page
1130	reclameaqui reclameaqui reclameaqui	42	30	97.9	0.0	https://blog.octadesk.com/como-evitar-que-sua-empresa-apareca-no-reclame-aqui/	0.04																	octadesk	second_page
1131	sistema sac	52	720	81.74	7.62	https://blog.octadesk.com/category/gestao/tecnologia/sistema-sac/	0.07																	octadesk	second_page
1132	excelência no atendimento ao cliente	31	720	71.14	3.29	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	0.4				65.0	145.0	8.0	76803.0	2312.0	18.595629000000002	24.0	61.0	7.0					octadesk	second_page
1133	um bom atendimento ao publico	74	90	70.29	0.0	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	0.1				66.0	147.0	8.0	60451.0	920.0	9.864187	7.0	57.0	5.0					octadesk	second_page
1134	tudo sobre atendimento ao cliente	34	70	62.75	0.87	https://blog.octadesk.com/atendimento-ao-cliente-para-arquitetos/	0.43				73.0	145.0	8.0	63229.0	1123.0	10.898479	38.0	57.0	10.0					octadesk	second_page
1135	gerenciador de clientes gratis	77	30	80.11	9.87	https://blog.octadesk.com/planilha-de-cadastro-de-clientes/	0.84																	octadesk	second_page
1136	atividades sobre atendimento ao cliente	34	90	76.17	1.75	https://blog.octadesk.com/monte-uma-central-de-atendimento-ao-cliente/	0.04				50.0	138.0	8.0	77358.0	2121.0	18.192865	9.0	62.0	5.0					octadesk	second_page
1137	gestão por processos	60	1600	63.62	6.09	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	0.58				67.0	151.0	8.0	74036.0	2543.0	22.54984	28.0	52.0	5.0					octadesk	second_page
1138	help desk ti	12	30	50.85	5.67	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	0.93				72.0	146.0	8.0	67714.0	1729.0	16.277282999999997	23.0	57.0	5.0					octadesk	second_page
1139	reclameaui	56	110	75.75	0.13	https://blog.octadesk.com/como-evitar-que-sua-empresa-apareca-no-reclame-aqui/	0.01																	octadesk	second_page
1140	contrario de empatia	32	90	66.09	0.0	https://blog.octadesk.com/empatia-melhora-o-mundo-e-faz-sua-empresa-crescer/	0.0				50.0	150.0	8.0	59224.0	650.0	7.255503999999999	5.0	59.0	5.0					octadesk	second_page
1141	como atender o cliente	78	70	59.63	0.45	https://blog.octadesk.com/nocoes-de-atendimento-equipe/	0.17				59.0	137.0	8.0	72732.0	1696.0	14.864158999999999	19.0	65.0	5.0					octadesk	second_page
1142	melhor blog	66	320	69.96	0.55	http://blog.octadesk.com/	0.0				0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0					octadesk	second_page
1143	o chamados	37	260	89.37	0.0	https://www.octadesk.com/sistema-de-chamados	0.01				40.0	69.0	78.0	44713.0	702.0	10.460045	13.0	3.0	5.0					octadesk	second_page
1144	sistema service desk	9	20	47.54	29.91	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	0.89				72.0	146.0	8.0	67714.0	1729.0	16.277282999999997	23.0	57.0	5.0					octadesk	first_page
1145	oq significa help	62	880	82.28	0.0	https://www.octadesk.com/	0.0	Help Desk e sistema de atendimento ao cliente Octadesk	20.0	13.0	54.0	121.0	105.0	30577.0	434.0	9.428656	393.0	2.0	5.0	10.0	10.0	24.545454545454547	34.18181818181818	octadesk	second_page
1170	rec lame aqui	42	40	83.47	2.02	https://blog.octadesk.com/como-evitar-que-sua-empresa-apareca-no-reclame-aqui/	0.0																	octadesk	second_page
1171	como atender bem	86	170	55.73	0.0	https://blog.octadesk.com/dicas-para-atender-bem-hoje/	0.0																	octadesk	second_page
1172	reclame com	78	260	72.51	1.43	https://blog.octadesk.com/como-evitar-que-sua-empresa-apareca-no-reclame-aqui/	0.09																	octadesk	second_page
1173	o bom atendimento ao cliente	12	30	61.77	0.0	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	0.11				70.0	138.0	8.0	74110.0	2183.0	18.704628	9.0	60.0	8.0					octadesk	second_page
