	keyword	Position	volume	Competition	Url	Inlinks
1798	como atender bem os clientes	80	40	0.09	https://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	20.0
1799	muito mais band	89	20	0.0	https://blog.octadesk.com/octadesk-na-band/	3.0
1800	caracteristicas de um bom profissional	17	210	0.03	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
1805	atendebem	61	390	0.04	https://blog.octadesk.com/saiba-porque-sua-equipe-de-atendimento-nao-atende-bem/	21.0
1806	sistema de os	60	110	0.73	https://blog.octadesk.com/sistema-de-atendimento-ao-cliente/	31.0
1807	cliente insatisfeito	37	210	0.0	https://blog.octadesk.com/tag/cliente-insatisfeito/	10.0
1809	band reportagens	82	50	0.09	https://blog.octadesk.com/octadesk-na-band/	3.0
1810	processos da qualidade	94	30	0.14	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
1815	o que faz um promoter	87	260	0.02	https://blog.octadesk.com/porque-usar-nps/	128.0
1822	como melhorar seu relacionamento	33	110	0.01	https://blog.octadesk.com/dicas-relacionamento-com-o-cliente/	18.0
1823	a comunicacao	95	30	0.04	https://blog.octadesk.com/saiba-como-a-tecnologia-pode-melhorar-a-comunicacao-em-sua-equipe-de-atendimento/	141.0
1824	quais as qualidades de um bom profissional	36	20	0.01	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
1825	o sac	23	90	0.0	https://blog.octadesk.com/o-sac-nunca-foi-tao-pop/	132.0
1827	formas de relacionamento com o cliente	43	90	0.09	https://blog.octadesk.com/dicas-relacionamento-com-o-cliente/	18.0
1829	perguntas rapidas	90	170	0.0	https://blog.octadesk.com/13-maneiras-rapidas-para-verificar-se-sua-empresa-tem-um-problema-de-atendimento-ao-cliente/	1.0
1831	excelência no atendimento	30	590	0.18	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
1833	etica no atendimento ao cliente	22	50	0.1	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
1836	e-commerce dicas	68	30	0.49	https://blog.octadesk.com/atendimento-online-e-commerce/	20.0
1840	escelencia	82	390	0.02	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
1843	software de atendimento	22	20	0.9	https://blog.octadesk.com/sistema-de-atendimento-ao-cliente/	31.0
1847	sistema de chamados gratuito	14	90	0.79	https://www.octadesk.com/sistema-de-chamados	13.0
1850	helpdesck	13	110	0.63	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
1851	gestao de processos	64	1000	0.75	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
1852	o que é desk	20	320	0.01	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
1855	empresas de service desk	87	20	0.96	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
1856	ferramentas de help desk	31	70	0.95	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
1857	que significa empatia	93	70	0.0	https://blog.octadesk.com/empatia-melhora-o-mundo-e-faz-sua-empresa-crescer/	5.0
1858	promoter	92	6600	0.01	https://blog.octadesk.com/porque-usar-nps/	128.0
1860	o que fazer para o relacionamento melhorar	79	90	0.02	https://blog.octadesk.com/dicas-relacionamento-com-o-cliente/	18.0
1863	ecelencia	83	140	0.0	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
1866	cliente satisfeito frases	80	720	0.01	https://blog.octadesk.com/atendimento-ao-cliente-como-se-destacar-da-concorrencia/	4.0
1869	mal atendimento ou mau atendimento	22	90	0.0	https://blog.octadesk.com/mau-atendimento-excelente-produto/	14.0
1871	gerente de processos	82	140	0.38	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
1872	chat novo	96	20	0.42	https://blog.octadesk.com/chat-octadesk-canal-de-atendimento-online/	9.0
1875	artigo sobre atendimento ao cliente	39	70	0.14	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
1878	central de atendimentos claro	66	20	0.45	https://blog.octadesk.com/monte-uma-central-de-atendimento-ao-cliente/	9.0
1905	controle de senhas de atendimento	93	70	0.79	https://blog.octadesk.com/seguranca-atendimento-ao-cliente/	9.0
1936	videos de atendimento ao cliente	48	140	0.06	https://www.octadesk.com/atendimento-ao-cliente	114.0
1937	cultura organizacional netflix	21	90	0.04	https://blog.octadesk.com/cultura-de-atendimento-o-que-e/	33.0
1939	gestao processos	89	30	0.7	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
1940	netflix atendimento ao cliente	36	70	0.1	https://blog.octadesk.com/cultura-de-atendimento-o-que-e/	33.0
1943	atendimento bom	35	260	0.0	https://blog.octadesk.com/bom-atendimento-valorizacao-produto/	10.0
1946	a pergunta definitiva	52	90	0.28	https://blog.octadesk.com/porque-usar-nps/	128.0
1947	empresa excelência	83	260	0.01	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
1948	como se escreve atendente	94	90	0.0	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
1976	o que é qualidade no atendimento	19	90	0.03	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
1977	o que é qualidade no atendimento	20	90	0.03	https://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	20.0
1978	da help desk	14	90	0.0	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
1980	dicas para relacionamento	84	140	0.09	https://blog.octadesk.com/dicas-relacionamento-com-o-cliente/	18.0
1982	atendimento ao cliente ppt	33	140	0.09	https://blog.octadesk.com/guia-de-atendimento-ao-cliente/	10.0
1983	desk service	7	20	0.76	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
2035	excelência	83	8100	0.0	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
2062	como mapear processos	98	140	0.49	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
2064	de pessoas	34	480	0.05	https://blog.octadesk.com/gestao-de-pessoas-atendimento-ao-cliente/	41.0
2065	o que e experiencia	63	140	0.0	https://blog.octadesk.com/o-que-e-customer-centric/	43.0
2066	assistente de atendimento o que faz	72	90	0.06	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
2067	net atendimento consumidor	96	20	0.32	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
2069	características de um bom profissional	19	90	0.01	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
2072	supervisor de atendimento ao cliente	36	90	0.29	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
2074	treinamento atendimento ao cliente	36	260	0.32	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
2075	como organizar financeiramente uma empresa	93	70	0.08	https://blog.octadesk.com/qualidade-no-atendimento/	6.0
2076	exelência	69	880	0.0	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
2077	netflix atendimento	20	210	0.06	https://blog.octadesk.com/cultura-de-atendimento-o-que-e/	33.0
2079	oque cultura	85	70	0.1	https://blog.octadesk.com/cultura-de-atendimento-o-que-e/	33.0
2080	suporte help desk	92	70	0.97	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
2081	como tratar um cliente	98	90	0.01	https://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	20.0
2109	problemas para resolver	42	110	0.02	https://blog.octadesk.com/suporte-ao-cliente-tecnologia/	142.0
2110	gestão dos processos	68	70	0.43	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
2111	central de atendimento bom	98	880	0.01	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
2112	vagas para atendimento ao cliente	47	20	0.49	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
2114	projeto atendimento ao cliente	27	90	0.29	https://blog.octadesk.com/metodologia-qualidade-no-atendimento-ao-cliente/	17.0
2116	atendimento cliente	92	140	0.23	https://blog.octadesk.com/sistema-de-atendimento-ao-cliente/	31.0
2120	como deve ser o atendimento ao cliente	15	70	0.16	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	9.0
2121	como deve ser o atendimento ao cliente	16	70	0.16	https://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	20.0
2151	www aconteceonline net	73	70	0.0	https://blog.octadesk.com/atendimento-online-e-commerce/	20.0
2153	é cultura	39	90	0.0	https://blog.octadesk.com/cultura-de-atendimento-o-que-e/	33.0
2155	escala de velocidade	33	90	0.0	https://blog.octadesk.com/ganhe-escala-e-velocidade-no-atendimento-ao-cliente-com-chatbots/	5.0
2156	atendente de help desk o que faz	26	70	0.32	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
2159	oque é cultura	85	1900	0.04	https://blog.octadesk.com/cultura-de-atendimento-o-que-e/	33.0
2160	oqo arquiteto faz	88	20	0.05	https://blog.octadesk.com/atendimento-ao-cliente-para-arquitetos/	38.0
2162	empreendedorismo e gestao	78	30	0.6	https://blog.octadesk.com/empreendedorismo-gestao/	68.0
2163	a excelencia no atendimento ao cliente	30	70	0.37	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
2190	diferença entre tem e têm	69	320	0.0	https://blog.octadesk.com/diferenca-omnichannel-multichannel/	39.0
2192	atendimento ao cliente por telefone dicas	36	90	0.21	https://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	20.0
2195	processos em uma empresa	57	20	0.13	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
2196	recrutamento de pessoas	39	590	0.32	https://blog.octadesk.com/recrutamento-de-pessoas/	23.0
2197	seu cliente pode pagar mais	94	140	0.29	https://blog.octadesk.com/bom-atendimento-valorizacao-produto/	10.0
2198	o que é qualidade no atendimento ao cliente	21	70	0.27	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
2199	o que é qualidade no atendimento ao cliente	22	70	0.27	https://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	20.0
2200	o bom atendimento	14	40	0.12	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	9.0
2201	questões de atendimento ao cliente	93	90	0.18	https://blog.octadesk.com/suporte-ao-cliente-tecnologia/	142.0
2203	o que e atendimento	26	260	0.05	https://blog.octadesk.com/o-que-e-customer-centric/	43.0
2205	atendimento de qualidade ao cliente	16	50	0.16	https://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	20.0
2206	como responder um cliente insatisfeito	91	90	0.01	https://blog.octadesk.com/como-lidar-com-um-cliente-enfurecido-e-terminar-bem-seu-dia/	12.0
2232	a qualidade	28	260	0.01	https://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	20.0
2233	frases de bom atendimento ao cliente	26	110	0.12	https://blog.octadesk.com/atendimento-ao-cliente-como-se-destacar-da-concorrencia/	4.0
2236	formas de atendimento ao cliente	63	70	0.07	https://blog.octadesk.com/metodologia-qualidade-no-atendimento-ao-cliente/	17.0
2237	qualidade no atendimento ao público	50	590	0.05	https://blog.octadesk.com/gestao-de-pessoas-atendimento-ao-cliente/	41.0
2238	central de atendimento ao cliente	34	70	0.13	https://blog.octadesk.com/monte-uma-central-de-atendimento-ao-cliente/	9.0
2239	planilha de tempo	85	90	0.26	https://blog.octadesk.com/kit-planilhas-de-atendimento-ao-cliente/	8.0
2240	o que é omnichannel	22	140	0.22	https://blog.octadesk.com/diferenca-omnichannel-multichannel/	39.0
2241	como melhorar o seu relacionamento	31	90	0.13	https://blog.octadesk.com/dicas-relacionamento-com-o-cliente/	18.0
2242	caracteristicas boas de uma pessoa	88	320	0.0	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
2273	agradecimento cliente	86	70	0.04	https://blog.octadesk.com/atendimento-ao-cliente-para-arquitetos/	38.0
2276	resolva o sistema	94	210	0.0	https://www.octadesk.com/help-desk	113.0
2278	o que e atendimento ao cliente	42	50	0.4	https://blog.octadesk.com/sistema-de-atendimento-ao-cliente/	31.0
2279	planilhas de organização	96	40	0.32	https://blog.octadesk.com/kit-planilhas-de-atendimento-ao-cliente/	8.0
2280	novo auto atendimento	92	70	0.03	https://blog.octadesk.com/novidades-base-de-conhecimento/	5.0
2307	qualidade no atendimento ao público interno e externo	95	170	0.01	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
2311	como atender um cliente	81	480	0.04	https://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	20.0
2312	planilha controle de qualidade	71	20	0.37	https://blog.octadesk.com/kit-planilhas-de-atendimento-ao-cliente/	8.0
2313	o que é um atendimento de qualidade	15	40	0.1	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
2314	o que é um atendimento de qualidade	16	40	0.1	https://blog.octadesk.com/como-melhorar-a-qualidade-no-atendimento-ao-cliente/	20.0
2315	o que e cultura organizacional	98	210	0.06	https://blog.octadesk.com/cultura-de-atendimento-o-que-e/	33.0
2316	ferramenta service desk	15	70	0.94	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
2319	caracteristicas de um profissional etico	26	90	0.0	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
2320	guias american express	61	90	0.0	https://blog.octadesk.com/guia-de-atendimento-ao-cliente/	10.0
2324	dicas sobre relacionamento	63	70	0.11	https://blog.octadesk.com/dicas-relacionamento-com-o-cliente/	18.0
2325	melhor atendimento ao cliente	31	70	0.16	https://blog.octadesk.com/guia-de-atendimento-ao-cliente/	10.0
2328	um cliente insatisfeito	60	70	0.0	https://blog.octadesk.com/tag/cliente-insatisfeito/	10.0
2332	chat online para site	47	170	0.87	https://blog.octadesk.com/chat-octadesk-canal-de-atendimento-online/	9.0
2337	video de atendimento ao cliente	44	140	0.07	https://www.octadesk.com/atendimento-ao-cliente	114.0
2365	sac revista epoca	72	40	0.05	https://blog.octadesk.com/epoca-negocios-rodrigo-ricco/	28.0
2369	relatorio de atendimento ao cliente	36	50	0.15	https://blog.octadesk.com/sistema-de-atendimento-ao-cliente/	31.0
2370	analista help desk	52	30	0.37	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
2372	como surgiu o atendimento ao cliente	15	70	0.35	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
2373	treinamento impacta	75	20	0.11	https://blog.octadesk.com/recrutamento-de-pessoas/	23.0
2424	empatia com o cliente	46	90	0.0	https://blog.octadesk.com/empatia-melhora-o-mundo-e-faz-sua-empresa-crescer/	5.0
2425	a importancia de um bom atendimento	76	70	0.05	https://blog.octadesk.com/7-dicas-bom-atendimento-ao-cliente/	9.0
2426	rodrigo novo	48	70	0.0	https://blog.octadesk.com/epoca-negocios-rodrigo-ricco/	28.0
2429	atendimento com excelência	17	90	0.09	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
2431	o que e cliente	92	90	0.03	https://blog.octadesk.com/o-que-e-customer-centric/	43.0
2432	ser sistema	51	90	0.09	https://blog.octadesk.com/sistema-de-atendimento-ao-cliente/	31.0
2433	como atender bem um cliente na recepção	76	90	0.06	https://blog.octadesk.com/qualidade-no-atendimento-ao-cliente/	13.0
2436	help desck	15	140	0.72	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
2442	metodos de atendimento ao cliente	39	90	0.19	https://blog.octadesk.com/metodologia-qualidade-no-atendimento-ao-cliente/	17.0
2443	whatsapp atrapalha relacionamento	61	260	0.03	https://blog.octadesk.com/erros-comuns-relacionamento-com-o-cliente/	31.0
2444	videos sobre bom atendimento ao cliente	69	90	0.18	https://blog.octadesk.com/nocoes-de-atendimento-equipe/	19.0
2449	planilha sac	55	90	0.01	https://blog.octadesk.com/kit-planilhas-de-atendimento-ao-cliente/	8.0
2477	dicas para empresas	56	30	0.08	https://blog.octadesk.com/dez-dicas-de-atendimento-ao-cliente-para-pequenas-empresas/	25.0
2478	atendimento personalizado ao cliente	50	70	0.07	https://blog.octadesk.com/excelencia-no-atendimento-importancia/	24.0
6	o que é help desk	3	480	0.36	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
9	check list de atendimento ao cliente	1	70	0.22	https://blog.octadesk.com/checklist-agilidade-qualidade-no-atendimento-ao-cliente/	6.0
37	sistema de chamados	3	260	0.82	https://www.octadesk.com/sistema-de-chamados	13.0
330	o que é service desk	3	170	0.4	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
333	profissional de atendimento	2	90	0.02	https://blog.octadesk.com/caracteristicas-de-um-profissional-de-atendimento-ao-cliente/	7.0
336	sistema de atendimento	3	110	0.88	https://blog.octadesk.com/sistema-de-atendimento-ao-cliente/	31.0
337	guia de atendimento	2	70	0.09	https://blog.octadesk.com/guia-de-atendimento-ao-cliente/	10.0
338	sistema de atendimento ao cliente	2	70	0.92	https://blog.octadesk.com/sistema-de-atendimento-ao-cliente/	31.0
364	melhoria no atendimento	3	90	0.06	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
365	help desk o que é	3	90	0.32	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
400	processo de atendimento ao cliente	2	40	0.07	https://blog.octadesk.com/gestao-de-processos-no-atendimento/	28.0
436	service desk o que é	3	50	0.36	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
554	help desk e service desk	3	30	0.7	https://blog.octadesk.com/diferencas-service-desk-e-help-desk/	23.0
